Tahun Kerja,Tingkat Pengalaman,Jenis Pekerjaan,Jabatan,Gaji,Mata Uang,Gaji (USD),Negara Tinggal,Sistem Kerja,Lokasi Perusahaan,Ukuran Perusahaan
2023,Senior,Tetap,Principal Data Scientist,80000,EUR,85847,ES,Remote,ES,Besar
2023,Menengah,Kontrak,ML Engineer,30000,USD,30000,US,Remote,US,Kecil
2023,Menengah,Kontrak,ML Engineer,25500,USD,25500,US,Remote,US,Kecil
2023,Senior,Tetap,Data Scientist,175000,USD,175000,CA,Remote,CA,Menengah
2023,Senior,Tetap,Data Scientist,120000,USD,120000,CA,Remote,CA,Menengah
2023,Senior,Tetap,Applied Scientist,222200,USD,222200,US,Kantor,US,Besar
2023,Senior,Tetap,Applied Scientist,136000,USD,136000,US,Kantor,US,Besar
2023,Senior,Tetap,Data Scientist,219000,USD,219000,CA,Kantor,CA,Menengah
2023,Senior,Tetap,Data Scientist,141000,USD,141000,CA,Kantor,CA,Menengah
2023,Senior,Tetap,Data Scientist,147100,USD,147100,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,90700,USD,90700,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Analyst,130000,USD,130000,US,Remote,US,Menengah
2023,Senior,Tetap,Data Analyst,100000,USD,100000,US,Remote,US,Menengah
2023,Pemula,Tetap,Applied Scientist,213660,USD,213660,US,Kantor,US,Besar
2023,Pemula,Tetap,Applied Scientist,130760,USD,130760,US,Kantor,US,Besar
2023,Senior,Tetap,Data Modeler,147100,USD,147100,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Modeler,90700,USD,90700,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,170000,USD,170000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,150000,USD,150000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Analyst,150000,USD,150000,US,Remote,US,Menengah
2023,Menengah,Tetap,Data Analyst,110000,USD,110000,US,Remote,US,Menengah
2023,Senior,Tetap,Research Engineer,275000,USD,275000,DE,Kantor,DE,Menengah
2023,Senior,Tetap,Research Engineer,174000,USD,174000,DE,Kantor,DE,Menengah
2023,Senior,Tetap,Analytics Engineer,230000,USD,230000,GB,Remote,GB,Menengah
2023,Senior,Tetap,Analytics Engineer,143200,USD,143200,GB,Remote,GB,Menengah
2023,Senior,Tetap,Business Intelligence Engineer,225000,USD,225000,US,Kantor,US,Menengah
2023,Senior,Tetap,Business Intelligence Engineer,156400,USD,156400,US,Kantor,US,Menengah
2023,Senior,Tetap,Machine Learning Engineer,200000,USD,200000,US,Kantor,US,Menengah
2023,Senior,Tetap,Machine Learning Engineer,130000,USD,130000,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Strategist,90000,USD,90000,CA,Kantor,CA,Menengah
2023,Senior,Tetap,Data Strategist,72000,USD,72000,CA,Kantor,CA,Menengah
2023,Senior,Tetap,Data Engineer,253200,USD,253200,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,90700,USD,90700,US,Kantor,US,Menengah
2023,Senior,Tetap,Computer Vision Engineer,342810,USD,342810,US,Kantor,US,Menengah
2023,Senior,Tetap,Computer Vision Engineer,184590,USD,184590,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Engineer,162500,USD,162500,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Engineer,130000,USD,130000,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Analyst,105380,USD,105380,US,Kantor,US,Menengah
2023,Menengah,Tetap,Data Analyst,64500,USD,64500,US,Kantor,US,Menengah
2023,Pemula,Tetap,Data Quality Analyst,100000,USD,100000,NG,Remote,NG,Besar
2023,Pemula,Tetap,Compliance Data Analyst,30000,USD,30000,NG,Remote,NG,Besar
2022,Menengah,Tetap,Machine Learning Engineer,1650000,INR,20984,IN,Hybrid,IN,Besar
2023,Pemula,Tetap,Applied Scientist,204620,USD,204620,US,Kantor,US,Besar
2023,Pemula,Tetap,Applied Scientist,110680,USD,110680,US,Kantor,US,Besar
2023,Senior,Tetap,Data Engineer,270703,USD,270703,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Engineer,221484,USD,221484,US,Kantor,US,Menengah
2023,Senior,Tetap,Data Scientist,212750,USD,212750,US,Remote,US,Menengah
